SPY
QQQ
TSLA
AAPL
IWM
AMC
AMD
FB
F
PLTR
NVDA
AMZN
VXX
HYG
MSFT
LCID
BAC
NIO
XLE
XLF
SOFI
UBER
EEM
UVXY
BBIG
MRNA
T
SLV
BA
AAL
SNAP
TLT
AFRM
EWZ
DKNG
SQQQ
MU
WFC
SDC
NFLX
IRNT
CLF
GM
TQQQ
WISH
FCX
PLUG
DIS
CCL
MRK
TLRY
MARA
PFE
GDX
ARKK
X
SQ
FXI
XOM
JPM
GLD
INTC
QS
CLOV
BB
C
ROKU
UPST
NKE
RIOT
PROG
SPCE
CCJ
OXY
VZ
HOOD
TWTR
EFA
FCEL
VIAC
XOP
CSCO
DIA
GME
CEI
VALE
ANY
PTON
CRM
SNDL
GOOGL
OCGN
UAL
TSM
FDX
DAL
ATER
LVS
PYPL
^SPX
^VIX
^NDX
